Date,Open,High,Low,Close
11/04/2025,"52,294.31","52,636.87","51,497.20","51,497.20"
10/31/2025,"51,629.80","52,411.34","51,613.03","52,411.34"
10/30/2025,"51,146.27","51,657.28","50,972.56","51,325.61"
10/29/2025,"50,453.64","51,412.97","50,365.62","51,307.65"
10/28/2025,"50,357.15","50,485.80","50,107.77","50,219.18"
10/27/2025,"49,905.80","50,549.60","49,838.98","50,512.32"
10/24/2025,"49,095.27","49,435.31","48,965.78","49,299.65"
10/23/2025,"48,866.58","48,866.58","48,399.05","48,641.61"
10/22/2025,"49,252.03","49,458.28","48,613.70","49,307.79"
10/21/2025,"49,675.43","49,945.95","49,127.20","49,316.06"
10/20/2025,"48,332.71","49,185.50","48,254.83","49,185.50"
10/17/2025,"47,820.97","48,140.90","47,494.31","47,582.15"
10/16/2025,"48,107.44","48,317.34","47,937.72","48,277.74"
10/15/2025,"47,002.30","47,774.83","46,910.83","47,672.67"
10/14/2025,"47,446.73","47,865.65","46,544.05","46,847.32"
10/10/2025,"48,510.72","48,510.72","47,962.61","48,088.80"
10/09/2025,"48,035.42","48,597.08","47,995.22","48,580.44"
10/08/2025,"47,925.22","48,181.12","47,728.27","47,734.99"
10/07/2025,"48,281.12","48,527.33","47,904.38","47,950.88"
10/06/2025,"46,636.07","48,150.04","46,592.99","47,944.76"
10/03/2025,"45,042.54","45,778.66","45,042.54","45,769.50"
10/02/2025,"44,736.03","45,125.96","44,659.22","44,936.73"
10/01/2025,"44,831.95","44,874.42","44,357.65","44,550.85"
09/30/2025,"45,054.96","45,126.23","44,733.60","44,932.63"
09/29/2025,"45,113.29","45,152.70","44,890.20","45,043.75"
09/26/2025,"45,634.20","45,766.77","45,354.99","45,354.99"
09/25/2025,"45,600.07","45,824.69","45,503.31","45,754.93"
09/24/2025,"45,484.41","45,693.28","45,205.47","45,630.31"
09/22/2025,"45,193.77","45,757.74","45,193.77","45,493.66"
09/19/2025,"45,634.29","45,852.75","44,495.46","45,045.81"
09/18/2025,"44,910.50","45,508.67","44,815.40","45,303.43"
09/17/2025,"44,751.84","45,033.34","44,612.07","44,790.38"
09/16/2025,"44,948.85","45,055.38","44,616.32","44,902.27"
09/12/2025,"44,803.30","44,888.02","44,548.57","44,768.12"
09/11/2025,"43,876.22","44,396.95","43,870.54","44,372.50"
09/10/2025,"43,513.16","43,848.77","43,509.02","43,837.67"
09/09/2025,"43,907.55","44,185.73","43,452.74","43,459.29"
09/08/2025,"43,451.07","43,838.60","43,343.58","43,643.81"
09/05/2025,"42,983.47","43,220.94","42,783.54","43,018.75"
09/04/2025,"42,093.70","42,608.80","42,066.59","42,580.27"
09/03/2025,"42,085.66","42,293.54","41,863.20","41,938.89"
09/02/2025,"42,299.63","42,473.67","42,084.78","42,310.49"
09/01/2025,"42,362.71","42,454.99","41,835.17","42,188.79"
08/29/2025,"42,774.29","42,807.03","42,611.31","42,718.47"
08/28/2025,"42,308.14","42,828.79","42,299.79","42,828.79"
08/27/2025,"42,476.09","42,628.04","42,270.18","42,520.27"
08/26/2025,"42,619.66","42,703.27","42,137.62","42,394.40"
08/25/2025,"42,977.27","43,201.42","42,681.37","42,807.82"
08/22/2025,"42,629.81","42,720.57","42,331.39","42,633.29"
08/21/2025,"42,783.26","42,926.11","42,564.30","42,610.17"
08/20/2025,"43,400.66","43,425.78","42,724.15","42,888.55"
08/19/2025,"43,846.55","43,876.42","43,411.97","43,546.29"
08/18/2025,"43,452.90","43,835.12","43,390.22","43,714.31"
08/15/2025,"42,866.38","43,405.43","42,736.86","43,378.31"
08/14/2025,"43,129.18","43,199.83","42,606.73","42,649.26"
08/13/2025,"43,090.91","43,451.46","43,008.20","43,274.67"
08/12/2025,"42,098.32","42,999.71","42,083.58","42,718.17"
08/08/2025,"41,283.70","42,033.92","41,248.05","41,820.48"
08/07/2025,"40,668.19","41,164.11","40,668.19","41,059.15"
08/06/2025,"40,430.46","40,850.89","40,423.13","40,794.86"
08/05/2025,"40,521.00","40,649.38","40,421.88","40,549.54"
08/04/2025,"40,118.81","40,332.25","39,850.52","40,290.70"
08/01/2025,"41,029.84","41,064.73","40,588.17","40,799.60"
07/31/2025,"40,693.00","41,151.25","40,639.32","41,069.82"
07/30/2025,"40,744.53","40,744.53","40,556.61","40,654.70"
07/29/2025,"40,767.77","40,792.85","40,563.53","40,674.55"
07/28/2025,"41,515.91","41,534.21","40,997.87","40,998.27"
07/25/2025,"41,760.58","41,773.70","41,389.79","41,456.23"
07/24/2025,"41,657.98","42,065.83","41,554.18","41,826.34"
07/23/2025,"40,189.18","41,342.59","40,087.86","41,171.32"
07/22/2025,"39,864.63","40,275.89","39,586.53","39,774.92"
07/18/2025,"40,072.39","40,087.59","39,745.42","39,819.11"
07/17/2025,"39,492.02","39,910.96","39,370.43","39,901.19"
07/16/2025,"39,734.74","39,923.61","39,520.96","39,663.40"
07/15/2025,"39,525.83","39,678.02","39,379.32","39,678.02"
07/14/2025,"39,416.10","39,608.02","39,288.90","39,459.62"
07/11/2025,"39,886.54","39,957.80","39,497.70","39,569.68"
07/10/2025,"39,795.75","39,795.75","39,530.95","39,646.36"
07/09/2025,"39,942.80","39,971.06","39,573.34","39,821.28"
07/08/2025,"39,542.07","39,816.27","39,510.48","39,688.81"
07/07/2025,"39,729.56","39,829.38","39,524.25","39,587.68"
07/04/2025,"39,994.64","40,012.66","39,693.40","39,810.88"
07/03/2025,"39,796.75","39,865.89","39,667.82","39,785.90"
07/02/2025,"39,631.17","39,943.62","39,444.70","39,762.48"
07/01/2025,"40,340.64","40,345.87","39,885.38","39,986.33"
06/30/2025,"40,550.79","40,852.54","40,322.54","40,487.39"
06/27/2025,"39,866.36","40,267.84","39,847.31","40,150.79"
06/26/2025,"39,072.14","39,615.59","39,056.14","39,584.58"
06/25/2025,"38,904.18","38,944.77","38,711.11","38,942.07"
06/24/2025,"38,779.18","38,990.11","38,665.61","38,790.56"
06/23/2025,"38,260.69","38,368.22","38,026.32","38,354.09"
06/20/2025,"38,472.25","38,646.16","38,362.54","38,403.23"
06/19/2025,"38,858.52","38,870.55","38,488.34","38,488.34"
06/18/2025,"38,364.16","38,885.15","38,364.16","38,885.15"
06/17/2025,"38,366.68","38,581.25","38,333.35","38,536.74"
06/16/2025,"38,056.86","38,342.52","38,055.52","38,311.33"
06/13/2025,"38,130.25","38,141.59","37,540.20","37,834.25"
06/12/2025,"38,324.93","38,407.57","38,102.05","38,173.09"
06/11/2025,"38,431.10","38,529.64","38,288.28","38,421.19"
06/10/2025,"38,278.17","38,495.70","38,139.10","38,211.51"
06/09/2025,"38,028.71","38,178.01","38,018.22","38,088.57"
06/06/2025,"37,590.44","37,756.15","37,590.42","37,741.61"
06/05/2025,"37,590.39","37,732.88","37,527.88","37,554.49"
06/04/2025,"37,686.66","37,868.42","37,672.47","37,747.45"
06/03/2025,"37,598.31","37,729.45","37,446.81","37,446.81"
06/02/2025,"37,651.18","37,651.18","37,320.72","37,470.67"
05/30/2025,"37,912.49","38,114.47","37,748.17","37,965.10"
05/29/2025,"38,046.97","38,454.07","38,035.32","38,432.98"
05/28/2025,"38,094.79","38,178.73","37,709.71","37,722.40"
05/27/2025,"37,523.37","37,769.05","37,411.68","37,724.11"
05/26/2025,"37,209.26","37,531.53","37,167.01","37,531.53"
05/23/2025,"37,161.74","37,373.91","37,111.63","37,160.47"
05/22/2025,"36,931.89","37,100.45","36,855.83","36,985.87"
05/21/2025,"37,590.15","37,659.94","37,298.98","37,298.98"
05/20/2025,"37,723.60","37,921.81","37,455.70","37,529.49"
05/19/2025,"37,572.36","37,656.23","37,445.93","37,498.63"
05/16/2025,"37,748.58","37,786.43","37,479.21","37,753.72"
05/15/2025,"37,832.36","37,876.84","37,633.36","37,755.51"
05/14/2025,"38,199.03","38,325.88","37,851.80","38,128.13"
05/13/2025,"38,149.53","38,494.06","38,124.20","38,183.26"
05/12/2025,"37,697.28","37,726.44","37,417.39","37,644.26"
05/09/2025,"37,332.57","37,557.41","37,219.03","37,503.33"
05/08/2025,"36,863.38","36,977.35","36,606.71","36,928.63"
05/07/2025,"36,903.66","36,942.38","36,731.39","36,779.66"
05/02/2025,"36,636.55","36,976.51","36,606.58","36,830.69"
05/01/2025,"36,197.04","36,544.15","36,040.05","36,452.30"
04/30/2025,"35,946.88","36,056.52","35,793.33","36,045.38"
04/28/2025,"35,962.80","36,075.26","35,773.49","35,839.99"
04/25/2025,"35,387.67","35,835.28","35,337.98","35,705.74"
04/24/2025,"35,194.71","35,287.95","34,960.65","35,039.15"
04/23/2025,"34,787.93","35,142.12","34,682.28","34,868.63"
04/22/2025,"34,111.14","34,340.57","34,109.85","34,220.60"
04/21/2025,"34,556.23","34,610.60","34,216.98","34,279.92"
04/18/2025,"34,353.88","34,758.97","34,224.57","34,730.28"
04/17/2025,"33,987.01","34,379.13","33,931.53","34,377.60"
04/16/2025,"34,249.82","34,329.27","33,658.47","33,920.40"
04/15/2025,"34,349.01","34,459.00","34,266.31","34,267.54"
04/14/2025,"34,006.37","34,325.59","33,887.70","33,982.36"
04/11/2025,"33,951.25","33,953.29","32,626.58","33,585.58"
04/10/2025,"32,321.21","34,639.39","32,320.66","34,609.00"
04/09/2025,"32,529.23","32,565.84","31,258.18","31,714.03"
04/08/2025,"31,729.11","33,257.16","31,703.69","33,012.58"
04/07/2025,"33,154.97","33,158.87","30,792.74","31,136.58"
04/04/2025,"34,304.66","34,320.11","33,259.76","33,780.58"
04/03/2025,"35,041.67","35,044.73","34,102.00","34,735.93"
04/02/2025,"35,751.02","35,778.90","35,426.33","35,725.87"
04/01/2025,"35,961.19","36,052.54","35,537.86","35,624.48"
03/31/2025,"36,440.18","36,440.18","35,541.72","35,617.56"
03/28/2025,"37,357.52","37,359.95","36,864.93","37,120.33"
03/27/2025,"37,750.66","37,859.06","37,556.75","37,799.97"
03/26/2025,"38,106.66","38,220.69","37,873.28","38,027.29"
03/25/2025,"37,953.15","38,115.65","37,686.26","37,780.54"
03/24/2025,"37,841.68","37,841.68","37,608.49","37,608.49"
03/21/2025,"37,619.37","37,968.02","37,619.37","37,677.06"
03/19/2025,"37,839.39","38,128.58","37,751.88","37,751.88"
03/18/2025,"37,868.57","38,004.20","37,822.87","37,845.42"
03/17/2025,"37,453.83","37,563.27","37,377.55","37,396.52"
03/14/2025,"36,606.78","37,154.39","36,594.04","37,053.10"
03/13/2025,"37,081.64","37,326.27","36,776.94","36,790.03"
03/12/2025,"36,763.10","36,956.33","36,658.86","36,819.09"
03/11/2025,"36,584.37","36,793.11","35,987.13","36,793.11"
03/10/2025,"36,972.59","37,113.48","36,705.02","37,028.27"
03/07/2025,"37,198.30","37,221.65","36,813.62","36,887.17"
03/06/2025,"37,654.95","37,874.38","37,580.88","37,704.93"
03/05/2025,"37,345.74","37,606.34","37,178.72","37,418.24"
03/04/2025,"37,532.01","37,587.49","36,816.16","37,331.18"
03/03/2025,"37,617.50","37,827.62","37,372.26","37,785.47"
02/28/2025,"37,853.48","37,925.28","36,840.12","37,155.50"
02/27/2025,"38,251.11","38,369.96","38,061.94","38,256.17"
02/26/2025,"38,143.68","38,175.24","37,742.76","38,142.37"
02/25/2025,"38,359.67","38,485.95","38,131.79","38,237.79"
02/21/2025,"38,523.07","38,808.81","38,456.53","38,776.94"
02/20/2025,"38,942.91","38,967.01","38,468.72","38,678.04"
02/19/2025,"39,230.62","39,298.05","38,994.70","39,164.61"
02/18/2025,"39,187.99","39,508.55","39,151.71","39,270.40"
02/17/2025,"39,094.09","39,238.75","39,021.23","39,174.25"
02/14/2025,"39,419.25","39,543.93","39,133.94","39,149.43"
02/13/2025,"39,225.50","39,581.47","39,112.17","39,461.47"
02/12/2025,"39,049.12","39,102.65","38,794.24","38,963.70"
02/10/2025,"38,736.37","38,895.74","38,606.32","38,801.17"
02/07/2025,"38,907.76","39,007.94","38,753.20","38,787.02"
02/06/2025,"38,977.58","39,190.13","38,851.51","39,066.53"
02/05/2025,"38,979.21","39,118.95","38,682.18","38,831.48"
02/04/2025,"39,078.66","39,192.51","38,590.96","38,798.37"
